company_id,from_year,to_year,from_pattern,to_pattern
SUNPHARMA,2023.0,2024,Reinvestor,Deleverager
TATACONSUM,2013.0,2014,Cash Accumulator,Deleverager
TATACONSUM,2015.0,2016,Deleverager,Shareholder Returns
TATACONSUM,2017.0,2018,Shareholder Returns,Deleverager
TATACONSUM,2018.0,2019,Deleverager,Shareholder Returns
TATACONSUM,2019.0,2020,Shareholder Returns,Deleverager
TATACONSUM,2023.0,2024,Deleverager,Reinvestor
TATAMOTORS,2014.0,2015,Deleverager,Reinvestor
TATAMOTORS,2015.0,2016,Reinvestor,Deleverager
TATAMOTORS,2016.0,2017,Deleverager,Reinvestor
TATAMOTORS,2021.0,2022,Reinvestor,Deleverager
TATAPOWER,2016.0,2017,Deleverager,Reinvestor
TATAPOWER,2017.0,2018,Reinvestor,Deleverager
TATAPOWER,2020.0,2021,Deleverager,Shareholder Returns
TATAPOWER,2021.0,2022,Shareholder Returns,Deleverager
TATAPOWER,2022.0,2023,Deleverager,Reinvestor
TATAPOWER,2023.0,2024,Reinvestor,Deleverager
TATASTEEL,2013.0,2014,Deleverager,Reinvestor
TATASTEEL,2014.0,2015,Reinvestor,Deleverager
TATASTEEL,2017.0,2018,Deleverager,Reinvestor
TATASTEEL,2018.0,2019,Reinvestor,Deleverager
TCS,2017.0,2018,Deleverager,Shareholder Returns
TCS,2020.0,2021,Shareholder Returns,Deleverager
TCS,2022.0,2023,Deleverager,Shareholder Returns
TECHM,2013.0,2014,Reinvestor,Shareholder Returns
TECHM,2014.0,2015,Shareholder Returns,Deleverager
TECHM,2019.0,2020,Deleverager,Shareholder Returns
TECHM,2020.0,2021,Shareholder Returns,Deleverager
TECHM,2021.0,2022,Deleverager,Shareholder Returns
TECHM,2022.0,2023,Shareholder Returns,Deleverager
TITAN,2013.0,2014,Deleverager,Distress Signal
TITAN,2014.0,2015,Distress Signal,Deleverager
TITAN,2017.0,2018,Deleverager,Cash Burner
TITAN,2018.0,2019,Cash Burner,Deleverager
TITAN,2019.0,2020,Deleverager,Cash Burner
TITAN,2020.0,2021,Cash Burner,Deleverager
TITAN,2021.0,2022,Deleverager,Cash Burner
